id,text,cleaned_text
1.55E+18,"Widespread protests have broken out in Panama over fuel costs, unemployment and inflation.The government of Panama agreed to lower fuel prices but a day later protests resumed after the agreement fell apart.
@CNN_Oppmann reports here.","Widespread protests have broken out in Panama over fuel costs, unemployment and inflation.The government of Panama agreed to lower fuel prices but a day later protests resumed after the agreement fell apart.@CNN_Oppmann reports here.."
1.55E+18,"A grand jury in Harris County, Texas, declined to indict a man who allegedly killed 9-year-old Arlene Alvarez while shooting at an armed robber in February, Harris County District Attorney Kim Ogg said.","A grand jury in Harris County, Texas, declined to indict a man who allegedly killed 9-year-old Arlene Alvarez while shooting at an armed robber in February, Harris County District Attorney Kim Ogg said.."
1.55E+18,"Heat deaths have outpaced hurricane deaths by more than 15-to-1 over the past decade.Some cities are now taking this unprecedented step to thwart a ""silent killer.""","Heat deaths have outpaced hurricane deaths by more than 15-to-1 over the past decade.Some cities are now taking this unprecedented step to thwart a ""silent killer.""."
1.55E+18,"The OX electric trucks are designed to negotiate Rwanda's dirt roads while carrying up to two tons of goods.Farmers and traders can rent delivery space, and transport their wares cheaply and sustainably.","The OX electric trucks are designed to negotiate Rwanda's dirt roads while carrying up to two tons of goods.Farmers and traders can rent delivery space, and transport their wares cheaply and sustainably.."
1.55E+18,"The Uvalde, Texas, schools superintendent has recommended the firing of Pete Arredondo, the school police chief who oversaw the response to the mass shooting at Robb Elementary School, according to a Board of Education meeting agenda.","The Uvalde, Texas, schools superintendent has recommended the firing of Pete Arredondo, the school police chief who oversaw the response to the mass shooting at Robb Elementary School, according to a Board of Education meeting agenda.."
1.55E+18,"The world's ""most fuel efficient"" commercial airplane wants to make flying cheaper.","The world's ""most fuel efficient"" commercial airplane wants to make flying cheaper.."
1.55E+18,"Bruce Willis revisits the ""Die Hard"" set in honor of the film's 34th anniversary.","Bruce Willis revisits the ""Die Hard"" set in honor of the film's 34th anniversary.."
1.55E+18,"""Let me just say a couple of words about that Twitter nonsense."" A 2011 CNN video shows its early, confusing rise in popularity -- and the power of celebrity in pushing the platform into the mainstream.","""Let me just say a couple of words about that Twitter nonsense."" A 2011 CNN video shows its early, confusing rise in popularity -- and the power of celebrity in pushing the platform into the mainstream.."
1.55E+18,"Escalating cases of Covid-19 in the US and Europe are a reminder of past summer waves, and a warning for the future.","Escalating cases of Covid-19 in the US and Europe are a reminder of past summer waves, and a warning for the future.."
1.55E+18,"The Secret Service was only able to provide a single text exchange to the DHS inspector general who had requested a month's worth of records for 24 Secret Service personnel, according to a letter to the House select committee investigating January 6, 2021.","The Secret Service was only able to provide a single text exchange to the DHS inspector general who had requested a month's worth of records for 24 Secret Service personnel, according to a letter to the House select committee investigating January 6, 2021.."
1.55E+18,The Mega Millions jackpot has ballooned to $630 million after there were no winners to match Tuesday's winning six numbers.,The Mega Millions jackpot has ballooned to $630 million after there were no winners to match Tuesday's winning six numbers..
1.55E+18,"Alleged sunglass thief was arrested with the help of a NYPD officer on horseback.Suspect faces multiple charges.Redmond Haskins, Director of Media Relations for Legal Aid Society, told CNN they have ""no comment."" Watch body cam footage here.","Alleged sunglass thief was arrested with the help of a NYPD officer on horseback.Suspect faces multiple charges.Redmond Haskins, Director of Media Relations for Legal Aid Society, told CNN they have ""no comment."" Watch body cam footage here.."
1.55E+18,"As the monkeypox outbreak continues to grow around the world, many people who have gotten sick with the virus have had mild symptoms and were able to recover without any monkeypox-specific treatment.","As the monkeypox outbreak continues to grow around the world, many people who have gotten sick with the virus have had mild symptoms and were able to recover without any monkeypox-specific treatment.."
1.55E+18,"Even as the January 6 committee prepares for a primetime hearing Thursday night, Republican voters in Maryland chose a prominent 2020 election denier as the party's nominee for governor.| Analysis by Chris Cillizza.","Even as the January 6 committee prepares for a primetime hearing Thursday night, Republican voters in Maryland chose a prominent 2020 election denier as the party's nominee for governor.| Analysis by Chris Cillizza.."
1.55E+18,Alex Murdaugh pleads not guilty to the 2021 murders of his wife and son.The disgraced South Carolina attorney has denied involvement in their deaths.,Alex Murdaugh pleads not guilty to the 2021 murders of his wife and son.The disgraced South Carolina attorney has denied involvement in their deaths..
1.55E+18,"Home prices hit a new all-time high in June, even as home sales declined for the fifth straight month as lack of affordability continues to push buyers out of the market.","Home prices hit a new all-time high in June, even as home sales declined for the fifth straight month as lack of affordability continues to push buyers out of the market.."
1.55E+18,"Early victory for Twitter, as a judge rules that the company's lawsuit against Elon Musk over their $44 billion acquisition agreement should go to a five-day trial in October.Watch @AFieldCNN's report here.","Early victory for Twitter, as a judge rules that the company's lawsuit against Elon Musk over their $44 billion acquisition agreement should go to a five-day trial in October.Watch @AFieldCNN's report here.."
1.55E+18,"A new tool monitoring the spread of HIV has raised privacy concerns.""You can be criminalized, certainly, for existing as a person living with HIv""","A new tool monitoring the spread of HIV has raised privacy concerns.""You can be criminalized, certainly, for existing as a person living with HIv""."
1.55E+18,"Is this the next ""Squid Game?"" Big ratings for a new Korean hit on Netflix boost hope.","Is this the next ""Squid Game?"" Big ratings for a new Korean hit on Netflix boost hope.."
1.55E+18,Justin Bieber will resume his tour after being diagnosed with an illness which left him with partial facial paralysis.,Justin Bieber will resume his tour after being diagnosed with an illness which left him with partial facial paralysis..
1.55E+18,"Arizona Republican Blake Masters, who earned Donald Trump's endorsement for the Senate race by embracing the former President's lies that he won the 2020 election, has turned to questioning whether the 2022 midterm election will be legitimate.","Arizona Republican Blake Masters, who earned Donald Trump's endorsement for the Senate race by embracing the former President's lies that he won the 2020 election, has turned to questioning whether the 2022 midterm election will be legitimate.."
1.55E+18,"While guest hosting for ""Jimmy Kimmel Live,"" Dana Carvey brought back his famous ""Saturday Night Live"" impressions, and created life updates for where those characters are now.","While guest hosting for ""Jimmy Kimmel Live,"" Dana Carvey brought back his famous ""Saturday Night Live"" impressions, and created life updates for where those characters are now.."
1.55E+18,"Alexandria Ocasio-Cortez was one of 17 members of Congress arrested at an abortion protest outside the Supreme Court yesterday - listen to CNN 5 Things for more details.Plus, what happened with a highway heist worth millions?","Alexandria Ocasio-Cortez was one of 17 members of Congress arrested at an abortion protest outside the Supreme Court yesterday - listen to CNN 5 Things for more details.Plus, what happened with a highway heist worth millions?."
1.55E+18,"From the grasslands, all the way up to its ice fields, joins us for an epic journey through Patagonia's wild highlands.Patagonia, Life on the Edge of the World airs Sunday at 9 pm ET/PT #PatagoniaCNN.","From the grasslands, all the way up to its ice fields, joins us for an epic journey through Patagonia's wild highlands.Patagonia, Life on the Edge of the World airs Sunday at 9 pm ET/PT #PatagoniaCNN.."
1.55E+18,Here are some US cities that set records Tuesday as temperatures soared to as high as 115 degrees.,Here are some US cities that set records Tuesday as temperatures soared to as high as 115 degrees..
1.55E+18,Video has captured the moment a van fell into sinkhole in New York.,Video has captured the moment a van fell into sinkhole in New York..
1.55E+18,"Before she was gunned down with her classmates, 10-year-old Alithia Haven Ramirez, of Uvalde, Texas, wanted to be an artist who shared her creations with the world. Now, Google has honored her wish.","Before she was gunned down with her classmates, 10-year-old Alithia Haven Ramirez, of Uvalde, Texas, wanted to be an artist who shared her creations with the world. Now, Google has honored her wish.."
1.55E+18,"38% of Americans approve of the Supreme Court, according to a new poll.That's down from 60% last July.","38% of Americans approve of the Supreme Court, according to a new poll.That's down from 60% last July.."
1.55E+18,A fire broke out at the Hoover Dam after a transformer burst into flames.,A fire broke out at the Hoover Dam after a transformer burst into flames..
1.55E+18,Micromanaging bosses and little-to-no work-life balance are a couple of characteristics of a toxic work environment.Experts share how to handle it.,Micromanaging bosses and little-to-no work-life balance are a couple of characteristics of a toxic work environment.Experts share how to handle it..
1.55E+18,Seventeen Democratic members of Congress -- including Alexandria Ocasio-Cortez -- were arrested outside the Supreme Court at an abortion rights protest.,Seventeen Democratic members of Congress -- including Alexandria Ocasio-Cortez -- were arrested outside the Supreme Court at an abortion rights protest..
1.55E+18,Grim warnings are issued as an oppressive heat wave in the US shows no signs of slowing.,Grim warnings are issued as an oppressive heat wave in the US shows no signs of slowing..
1.55E+18,"Gems and jewelry worth millions of dollars were stolen from an armored truck parked at a rest stop near Los Angeles, officials said, setting off a multi-agency investigation.","Gems and jewelry worth millions of dollars were stolen from an armored truck parked at a rest stop near Los Angeles, officials said, setting off a multi-agency investigation.."
1.55E+18,"K-Pop star J-Hope of the boy band sensation BTS will perform this month at Chicago's annual Lollapalooza show, becoming the first South Korean artist to headline a major US musical festival.","K-Pop star J-Hope of the boy band sensation BTS will perform this month at Chicago's annual Lollapalooza show, becoming the first South Korean artist to headline a major US musical festival.."
1.55E+18,"A wild monkey is terrorizing a small city in southwestern Japan, breaking into homes to bite and claw residents amid an ongoing hunt for the animal, officials said.","A wild monkey is terrorizing a small city in southwestern Japan, breaking into homes to bite and claw residents amid an ongoing hunt for the animal, officials said.."
1.55E+18,"The Secret Service was only able to provide a single text exchange to the DHS inspector general who had requested a month's worth of records for 24 Secret Service personnel, according to a letter to the House select committee investigating January 6, 2021.","The Secret Service was only able to provide a single text exchange to the DHS inspector general who had requested a month's worth of records for 24 Secret Service personnel, according to a letter to the House select committee investigating January 6, 2021.."
1.55E+18,"Simran Jeet Singh says his brothers were often denied the right to play college sports because of their turbans.Now, a new Maryland law will allow religious garments in college sports.","Simran Jeet Singh says his brothers were often denied the right to play college sports because of their turbans.Now, a new Maryland law will allow religious garments in college sports.."
1.55E+18,"KFILE: A top spokeswoman for Nevada Republican Senate nominee -- a key state that could determine control in Washington -- marched to the US Capitol on January 6, 2021, with two members of the far-right extremist group the Oath Keepers.","KFILE: A top spokeswoman for Nevada Republican Senate nominee -- a key state that could determine control in Washington -- marched to the US Capitol on January 6, 2021, with two members of the far-right extremist group the Oath Keepers.."
1.55E+18,"Jon Hamm would like to introduce everyone to the ""Hamm Slamm."" Get your mind out of the gutter.","Jon Hamm would like to introduce everyone to the ""Hamm Slamm."" Get your mind out of the gutter.."
1.55E+18,"For 46 years, the answer to who killed Lindy Sue Biechler remained a mystery.But with the help of DNA lifted from a coffee cup earlier this year, investigators were able to charge a man with the stabbing of the 19-year-old woman in 1975.","For 46 years, the answer to who killed Lindy Sue Biechler remained a mystery.But with the help of DNA lifted from a coffee cup earlier this year, investigators were able to charge a man with the stabbing of the 19-year-old woman in 1975.."
1.55E+18,The Mega Millions jackpot has ballooned to $630 million after there were no winners to match Tuesday's winning six numbers.,The Mega Millions jackpot has ballooned to $630 million after there were no winners to match Tuesday's winning six numbers..
1.55E+18,"Rolex Awards Laureate Rodrigo Medellín is known as the ""Bat Man of Mexico"" for his conservation work.He's helped forge a partnership with the country's tequila industry, saving endangered bats that pollinate agave flowers.","Rolex Awards Laureate Rodrigo Medellín is known as the ""Bat Man of Mexico"" for his conservation work.He's helped forge a partnership with the country's tequila industry, saving endangered bats that pollinate agave flowers.."
1.55E+18,"Downtown Chicago will host the first-ever NASCAR Cup Series street-circuit race next July, NASCAR officials, drivers and Mayor Lori Lightfoot announced.","Downtown Chicago will host the first-ever NASCAR Cup Series street-circuit race next July, NASCAR officials, drivers and Mayor Lori Lightfoot announced.."
1.55E+18,"The US Centers for Disease Control and Prevention updated its ""high"" risk category for travel with five places, including two nations in South America.","The US Centers for Disease Control and Prevention updated its ""high"" risk category for travel with five places, including two nations in South America.."
1.55E+18,Japan tops the list in a quarterly report that ranks the best and worst passports when it comes to global travel freedom.,Japan tops the list in a quarterly report that ranks the best and worst passports when it comes to global travel freedom..
1.55E+18,"A 2,000-year-old fortress built on a mountainside in what's now Iraqi Kurdistan could be part of a lost royal city called Natounia.","A 2,000-year-old fortress built on a mountainside in what's now Iraqi Kurdistan could be part of a lost royal city called Natounia.."
1.55E+18,Buzz Aldrin is auctioning off a trove of personal items and historic artifacts from his storied career -- including the jacket he wore during the moon landing.,Buzz Aldrin is auctioning off a trove of personal items and historic artifacts from his storied career -- including the jacket he wore during the moon landing..
1.55E+18,"The Dallas school district announced that it will require students to carry clear or mesh backpacks to class, joining other Texas districts in implementing new security measures following the Uvalde school massacre.","The Dallas school district announced that it will require students to carry clear or mesh backpacks to class, joining other Texas districts in implementing new security measures following the Uvalde school massacre.."
1.55E+18,"A West Virginia woman has awoken from a two-year coma and identified her brother as her attacker, according to police.","A West Virginia woman has awoken from a two-year coma and identified her brother as her attacker, according to police.."
1.55E+18,"Here are eight assumptions about diet, exercise and sleep that fail to meet the sniff test.","Here are eight assumptions about diet, exercise and sleep that fail to meet the sniff test.."
1.55E+18,"Texas State University will offer a spring 2023 course titled ""Harry Styles and the Cult of Celebrity: Identity, the Internet and European Pop Culture."" The class will explore Styles' fame and the influence of social media, among other themes.","Texas State University will offer a spring 2023 course titled ""Harry Styles and the Cult of Celebrity: Identity, the Internet and European Pop Culture."" The class will explore Styles' fame and the influence of social media, among other themes.."
1.55E+18,"An elusive type of black hole has been discovered in a neighboring galaxy for the first time, according to a new study.","An elusive type of black hole has been discovered in a neighboring galaxy for the first time, according to a new study.."
1.55E+18,Join CNN for unprecedented access to the last great frontier.Patagonia: Life on the Edge of the World airs Sunday at 9 pm ET/PT #PatagoniaCNN.,Join CNN for unprecedented access to the last great frontier.Patagonia: Life on the Edge of the World airs Sunday at 9 pm ET/PT #PatagoniaCNN..
1.55E+18,Vaccine advisers to the US Centers for Disease Control and Prevention voted 12-0 Tuesday to recommend Novavax's Covid-19 vaccine for use as a two-dose primary series in adults.,Vaccine advisers to the US Centers for Disease Control and Prevention voted 12-0 Tuesday to recommend Novavax's Covid-19 vaccine for use as a two-dose primary series in adults..
1.55E+18,Former White House Chief of Staff Mick Mulvaney tells CNN's @thelauracoates why he believes the Republican party has moved past former President Donald Trump.,Former White House Chief of Staff Mick Mulvaney tells CNN's @thelauracoates why he believes the Republican party has moved past former President Donald Trump..
1.55E+18,Home builders are hitting the brakes as building costs rise and prospective buyers get priced out of the market.,Home builders are hitting the brakes as building costs rise and prospective buyers get priced out of the market..
1.55E+18,"Presently ""the vast majority"" of US women change their name when they marry, despite a growing feminism movement and increased gender equality.","Presently ""the vast majority"" of US women change their name when they marry, despite a growing feminism movement and increased gender equality.."
1.55E+18,CNN's @mkraju speaks with lawmakers on both sides of the aisle about Sen.Joe Manchin's opposition to President Joe Biden's climate bill.Watch here.,CNN's @mkraju speaks with lawmakers on both sides of the aisle about Sen.Joe Manchin's opposition to President Joe Biden's climate bill.Watch here..
1.55E+18,"For 46 years, the answer to who killed Lindy Sue Biechler remained a mystery.

But with the help of DNA lifted from a coffee cup earlier this year, investigators were able to charge a man with the stabbing of the 19-year-old woman in 1975.","For 46 years, the answer to who killed Lindy Sue Biechler remained a mystery.But with the help of DNA lifted from a coffee cup earlier this year, investigators were able to charge a man with the stabbing of the 19-year-old woman in 1975.."
1.55E+18,"Georgia prosecutors investigating Trump's attempt to overturn the 2020 election say all 16 of the ""fake electors"" who participated in a plan to subvert the Electoral College are now targets of an ongoing criminal investigation.","Georgia prosecutors investigating Trump's attempt to overturn the 2020 election say all 16 of the ""fake electors"" who participated in a plan to subvert the Electoral College are now targets of an ongoing criminal investigation.."
1.55E+18,"Amazon said it has sued the administrators of more than 11,000 Facebook groups allegedly responsible for facilitating the purchase and sale of fake reviews on Amazon's marketplace in seven countries.","Amazon said it has sued the administrators of more than 11,000 Facebook groups allegedly responsible for facilitating the purchase and sale of fake reviews on Amazon's marketplace in seven countries.."
1.55E+18,"""I think I speak for the entire @WNBA when I say this: We need her home urgently"" - Brittney Griner's former coach @coachjameswade talks to CNN's @ErinBurnett as the WNBA star faces a fifth month detained in Russia.","""I think I speak for the entire @WNBA when I say this: We need her home urgently"" - Brittney Griner's former coach @coachjameswade talks to CNN's @ErinBurnett as the WNBA star faces a fifth month detained in Russia.."
1.55E+18,"A Spanish man was left in ""serious condition"" after fleeing a wildfire with his clothes in flames, according to a family friend.","A Spanish man was left in ""serious condition"" after fleeing a wildfire with his clothes in flames, according to a family friend.."
1.55E+18,Disgusting and unbelievable.' Jodi Brown says her daughter and niece were ignored by a costumed character during a visit to Sesame Place theme park in Pennsylvania.Brown tells @VictorBlackwell she thinks the snub happened because the girls are Black.,Disgusting and unbelievable.' Jodi Brown says her daughter and niece were ignored by a costumed character during a visit to Sesame Place theme park in Pennsylvania.Brown tells @VictorBlackwell she thinks the snub happened because the girls are Black..
1.55E+18,"A fire broke out at the Hoover Dam on Tuesday when a transformer caught fire, sending plumes of black smoke into the air, according to the Bureau of Reclamation.","A fire broke out at the Hoover Dam on Tuesday when a transformer caught fire, sending plumes of black smoke into the air, according to the Bureau of Reclamation.."
1.55E+18,"""A self-inflicted wound for the Secret Service."" Former agent @JDWackrow speaks to CNN's @wolfblitzer about the Secret Service not yet recovering potentially missing texts from January 5 and 6, 2021.","""A self-inflicted wound for the Secret Service."" Former agent @JDWackrow speaks to CNN's @wolfblitzer about the Secret Service not yet recovering potentially missing texts from January 5 and 6, 2021.."
1.55E+18,"RT @TheLeadCNN: ""It's been a rough couple of weeks; I feel like I'm spending an enormous amount of my time just trying to ensure my persona.""","RT @TheLeadCNN: ""It's been a rough couple of weeks; I feel like I'm spending an enormous amount of my time just trying to ensure my persona.""."
1.55E+18,"CNN is in Ukraine.On the front lines.Reporting the story, as it happens.Stay with CNN for the latest from Ukraine.","CNN is in Ukraine.On the front lines.Reporting the story, as it happens.Stay with CNN for the latest from Ukraine.."
1.55E+18,"RT @TheLeadCNN: Senior White House Adviser @genebsperling: ""We have honorable disagreements"" with Sen.Manchin, who asserts the Democrats'.","RT @TheLeadCNN: Senior White House Adviser @genebsperling: ""We have honorable disagreements"" with Sen.Manchin, who asserts the Democrats'.."
1.55E+18,Heat-related sickness is top of mind today for many people around the world not used to coping with extreme heat. ,Heat-related sickness is top of mind today for many people around the world not used to coping with extreme heat. .
1.55E+18,RT @CNNPolitics: Maryland's primary today is set to test Democratic voters' views of the party's establishment and Republicans' willingness.,RT @CNNPolitics: Maryland's primary today is set to test Democratic voters' views of the party's establishment and Republicans' willingness..
1.55E+18,".@IvanCNN reports on the struggle for Ukrainian civilians desperately trying to escape the war, including one man who traveled on foot past unexploded land mines to flee from Russian troops. ",".@IvanCNN reports on the struggle for Ukrainian civilians desperately trying to escape the war, including one man who traveled on foot past unexploded land mines to flee from Russian troops. ."
1.55E+18,"Court documents show that all 16 of the ""fake electors"" who participated in a plan to subvert the Electoral College are now targets of an ongoing criminal investigation.","Court documents show that all 16 of the ""fake electors"" who participated in a plan to subvert the Electoral College are now targets of an ongoing criminal investigation.."
1.55E+18,A Manhattan judge dismissed a murder charge Tuesday against a bodega worker who fatally stabbed a man earlier this month in what the worker's legal team argued was a case of self-defense.,A Manhattan judge dismissed a murder charge Tuesday against a bodega worker who fatally stabbed a man earlier this month in what the worker's legal team argued was a case of self-defense..
1.55E+18,The Democrat-led House of Representatives on Tuesday voted to pass a bill that would enshrine protections for same-sex marriage into federal law.But it's not clear whether the bill can pass the Senate.,The Democrat-led House of Representatives on Tuesday voted to pass a bill that would enshrine protections for same-sex marriage into federal law.But it's not clear whether the bill can pass the Senate..
1.55E+18,"Under the proposed settlement, customers who had to replace multiple keyboards can expect payouts up to $395 and those who had a single keyboard replaced can expect around $125, according to the filing.","Under the proposed settlement, customers who had to replace multiple keyboards can expect payouts up to $395 and those who had a single keyboard replaced can expect around $125, according to the filing.."
1.55E+18,"Heat waves across multiple continents have dashed records, threatened public health and buckled infrastructure, in what scientists say are signs of the climate crisis' impact on day-to-day weather.","Heat waves across multiple continents have dashed records, threatened public health and buckled infrastructure, in what scientists say are signs of the climate crisis' impact on day-to-day weather.."
1.55E+18,"Former New York City Mayor Bill de Blasio announced he is dropping out of the race for New York's 10th Congressional District.

""Time for me to leave electoral politics and focus on other ways to serve,"" de Blasio said.","Former New York City Mayor Bill de Blasio announced he is dropping out of the race for New York's 10th Congressional District.""Time for me to leave electoral politics and focus on other ways to serve,"" de Blasio said.."
1.55E+18,"The US attorney's office in Manhattan has opened a civil investigation into workplace safety at Amazon warehouses and possible ""fraudulent"" conduct to hide worker injuries from federal regulators, a spokesperson said.","The US attorney's office in Manhattan has opened a civil investigation into workplace safety at Amazon warehouses and possible ""fraudulent"" conduct to hide worker injuries from federal regulators, a spokesperson said.."
1.55E+18,"Daria Kasatkina, currently ranked No 12 in the world, told a Russian blogger that she is in a relationship with a woman, figure skater Natalia Zabiiako.","Daria Kasatkina, currently ranked No 12 in the world, told a Russian blogger that she is in a relationship with a woman, figure skater Natalia Zabiiako.."
1.55E+18,More than a dozen Democratic members of Congress were among those arrested by Capitol Police on Tuesday afternoon as part of an abortion rights protest in front of the Supreme Court.,More than a dozen Democratic members of Congress were among those arrested by Capitol Police on Tuesday afternoon as part of an abortion rights protest in front of the Supreme Court..
1.55E+18,"Limp Bizkit will not be kicking off the UK and European leg of their ""Still Sucks"" tour.
","Limp Bizkit will not be kicking off the UK and European leg of their ""Still Sucks"" tour.."
1.55E+18,"Why do we treat an athlete's mental health break differently than an injury? @WKamauBell is talking elite athletes and the mental health crisis they face on a new episode of #UnitedShades, Sunday at 10 pm ET/PT ","Why do we treat an athlete's mental health break differently than an injury? @WKamauBell is talking elite athletes and the mental health crisis they face on a new episode of #UnitedShades, Sunday at 10 pm ET/PT ."
1.55E+18,"Families of 9/11 victims are urging former President Donald Trump to cancel a Saudi golf tournament that is to be held at his New Jersey golf course.

 ",Families of 9/11 victims are urging former President Donald Trump to cancel a Saudi golf tournament that is to be held at his New Jersey golf course. .
1.55E+18,"Humans aren't the only ones struggling with record-high temperatures.Here are some ways to keep your pets safe during the hot weather.
",Humans aren't the only ones struggling with record-high temperatures.Here are some ways to keep your pets safe during the hot weather..
1.55E+18,"Listen to CNN's 5 Things podcast for more details on today's top headlines: How President Biden might act on the climate crisis; New details about the Indiana mall shooting; A key vote in the House to protect same-sex marriage.

",Listen to CNN's 5 Things podcast for more details on today's top headlines: How President Biden might act on the climate crisis; New details about the Indiana mall shooting; A key vote in the House to protect same-sex marriage..
1.55E+18,"Buzz Aldrin is auctioning off a trove of personal items and historic artifacts from his storied career -- including the jacket he wore during the moon landing.
",Buzz Aldrin is auctioning off a trove of personal items and historic artifacts from his storied career -- including the jacket he wore during the moon landing..
1.55E+18,"Puerto Rican police officials confirm they have served pop star Ricky Martin, through his attorney, an order of protection filed by his nephew.@JeanCasarezCNN reports.

 ","Puerto Rican police officials confirm they have served pop star Ricky Martin, through his attorney, an order of protection filed by his nephew.@JeanCasarezCNN reports. ."
1.55E+18,"Alex Rodriguez sounds like he has no hard feelings when it comes to his split from Jennifer Lopez.
",Alex Rodriguez sounds like he has no hard feelings when it comes to his split from Jennifer Lopez..
1.55E+18,"CNN Poll: Voters are evenly split on the congressional ballot, as most say neither major party's candidates have the right priorities.
","CNN Poll: Voters are evenly split on the congressional ballot, as most say neither major party's candidates have the right priorities.."
1.55E+18,"Lawyers for Twitter and Elon Musk will have their first chance to square off in court.
",Lawyers for Twitter and Elon Musk will have their first chance to square off in court..
1.55E+18,"More than 80 percent of the US population (around 265 million Americans) will see a high above 90 degrees over the next seven days.
",More than 80 percent of the US population (around 265 million Americans) will see a high above 90 degrees over the next seven days..
1.55E+18,"""I almost died,"" wrote American teenager Brad Miele Miele in his diary the following day.
","""I almost died,"" wrote American teenager Brad Miele Miele in his diary the following day.."
1.55E+18,"An iPhone-hating emu cracks up the internet with the catchphrase, ""Emmanuel, don't do it!"" Jeanne Moos reports on the emu pecking his way to fame.

 ","An iPhone-hating emu cracks up the internet with the catchphrase, ""Emmanuel, don't do it!"" Jeanne Moos reports on the emu pecking his way to fame. ."
1.55E+18,"The White House released a new executive order that senior administration officials say is meant to deter hostage taking and wrongful detentions around the world and strengthen efforts to bring unlawfully detained Americans home.
",The White House released a new executive order that senior administration officials say is meant to deter hostage taking and wrongful detentions around the world and strengthen efforts to bring unlawfully detained Americans home..
1.55E+18,Droughts in Italy's river Po Delta in the northern region of the country is affecting farmers and their crops as the climate emergency ravages Europe.@bencnn reports.,Droughts in Italy's river Po Delta in the northern region of the country is affecting farmers and their crops as the climate emergency ravages Europe.@bencnn reports..
